x [px], y [px], t [s], nPhotons [1], PSD value, t_relToExtTrigger [s]
  52.74,   96.31, 1.320750781250e-02,   5.0, 7.018458062500e-02, nan
   5.84,    3.16, 1.324875468750e-02,   5.0, 1.811850906250e-02, nan
 119.15,   66.41, 1.327642500000e-02,   2.0, 1.415771796875e-02, nan
  90.34,    8.45, 1.334087187500e-02,   5.0, 3.603043375000e-02, nan
  42.04,  133.00, 1.338392343750e-02,  30.0, 8.750847708333e-03, nan
  40.13,  119.33, 1.338475468750e-02,   6.0, 1.633674218750e-02, nan
  88.94,  138.76, 1.339851562500e-02, 116.0, 6.224262948545e-01, nan
  43.93,  116.20, 1.340251250000e-02,   5.0, 2.188047531250e-02, nan
  45.06,  137.92, 1.340541875000e-02,   2.0, 3.673546406250e-02, nan
  10.64,  137.23, 1.341805781250e-02,  34.0, 7.277866599265e-02, nan
  21.93,  131.06, 1.343154218750e-02,  13.0, 4.855906021635e-02, nan
  85.08,   95.65, 1.343710312500e-02,  50.0, 2.710798854375e-01, nan
   9.90,  134.45, 1.364804843750e-02,  10.0, 1.997197078125e-02, nan
   8.04,   70.86, 1.375261093750e-02,   7.0, 1.264403368304e-01, nan
  73.23,   68.18, 1.380693906250e-02,   7.0, 2.498219709821e-02, nan
  74.35,   75.32, 1.382686562500e-02,   2.0, 2.158015468750e-02, nan
 156.59,  149.26, 1.391369375000e-02,   5.0, 5.308583500000e-02, nan
